video_id,video_title,video_views,video_likes,video_comment,video_duration,video_published_date
d52kp676npI,இது தான் Anaconda பட்டாசா 😂 BIGGEST CRACKER Testing 2023🎉🎉 | Vj Siddhu Vlogs,297291,13963,463,PT21M55S,2023-10-04T12:15:09Z
GfmQ6mzzly0,Thailand Tiger ka Hukum🐅🔥| Vj Siddhu Vlogs,2041669,83206,735,PT21M42S,2023-10-02T12:30:09Z
9jovCSAeaBo,Thailand கூடவே Collabration-ஆ😂 - இனிமே Full Fun தான்😂🔥 | Vj Siddhu Vlogs,1552983,71427,652,PT17M40S,2023-10-01T04:30:11Z
TyMsPyNQcA8,என்ன எல்லாரும் நம்மள பாத்து சிரிக்குறாங்க😂 Full Fun Thailand Trip ஆரம்பம்😷 | Vj Sidhu Vlogs,1609202,87161,994,PT18M26S,2023-09-29T14:45:08Z
Ucx2i_TufNk,"இனி பேச்சே கெடையாது, வீச்சு தான் 😎 Vera மாறி Thailand Series 🔥| Vj Siddhu Vlogs",560143,38130,869,PT3M5S,2023-09-27T10:30:12Z
_SjBlEx7T4Q,International trip க்கு பொட்டி வாங்கப்போறோம் 😍 | Bags Wholesale Shop  |  Vj Siddhu Vlogs,616609,31212,525,PT15M20S,2023-09-25T14:00:08Z
FVCZ8NPAytY,இடையூறுக்கு வருந்துகிறோம்🙏🏻 | Vj Siddhu Vlogs,931625,57797,1415,PT6M12S,2023-09-22T12:40:11Z
YHv9RXnr7XY,என்ன பாத்தா Joker மாறி இருக்கா 😋💥 Fun Cooking With BOYS🎉 | Vj Siddhu Vlogs,3121812,133161,2157,PT21M7S,2023-09-20T14:45:12Z
nO43MjCLW0A,இவனுங்கள வச்சிக்கிட்டு என்ன பண்றது🤷🏻‍♂🤦🏻|‍ HOME TOUR PART - 4 🤣  | VJ Siddhu Vlogs,2786887,106948,1300,PT17M24S,2023-09-18T11:45:09Z
IoJ8nkSCuo8,எனக்குனே சிக்குறாங்களே Sir 😂 Full FUN Mode💥Bijili Crackers 🎉| Vj Siddhu Vlogs,444360,21938,348,PT19M38S,2023-09-15T12:00:10Z
TrisAUXFK8o,3000 ரூபாய்க்கு இந்த Beach-ல அப்டி என்ன டா இருக்கு🙄💥 Butterfly Beach In Goa | Vj Siddhu Vlogs,295000,12338,127,PT13M49S,2023-09-13T10:45:09Z
8yAsHJrGFLg,இங்க வரதுக்கு முன்னாடி ஒரு Time யோசிங்க😷🙄 100% Fun Trekking With Iniyazh 😂💥| Vj Siddhu Vlogs,278081,12025,122,PT13M10S,2023-09-11T10:45:08Z
L7AzOlTLHd4,சோறு எங்கடா😂 - Murdeshwar கோயில் அன்னதானம் Review😋💥 | Karnataka | Vj Siddhu Vlogs,527015,23018,221,PT11M13S,2023-09-08T10:30:08Z
UFnxxxldXqg,Plan பண்ணாத Trip-ல இவ்ளோ Surprise-ஆ  😍🚗 | Vj Siddhu Vlogs,550729,24094,293,PT10M17S,2023-09-06T10:30:08Z
R_dzTQywdek,இனிமே வீட்டு பக்கம் வந்தீங்க அவ்ளோ தான்டா 😂💥 Sunday Funday🎉 | Part 3 | Vj Siddhu Vlogs,3090813,110755,828,PT17M40S,2023-09-04T10:30:10Z
1OKP6dWX_xM,"வீட்டுக்கு உள்ள ஒரு AC, வெளிய ஒரு AC-யா 😂 Siddhu Anna COSTLY Home Tour🤣 | VJ Siddhu Vlogs",3225972,123174,984,PT18M5S,2023-09-01T10:30:09Z
igvUpCEALzI,என் வீடு என்ன ஆக போகுதோ 😂Sunday With KOLARU Boys 🎊🔥| Vj Siddhu Vlogs,2594288,105728,818,PT16M28S,2023-08-30T10:30:09Z
r7Rx9I0Al8E,Night 12 மணிக்கு வெறித்தனமான மீன் வேட்டை😋🔥 Budget FishTiffen | Vj Sidhu Vlogs,749424,33170,347,PT12M20S,2023-08-28T12:00:09Z
0IVBovKGSdE,இப்டி ஒரு Love Story-ய கேட்டு இருக்கவே மாட்டீங்க😂🔥 |  Vj Sidhu Vlogs,1274830,73157,3893,PT12M8S,2023-08-25T09:30:13Z
v1arwXMvv1o,தரமான Midnight பிரியாணி தேடி போறோம் 😋🔥 | Midnight Biriyani Hunt ❤| Vj Siddhu Vlogs,1132626,40976,461,PT17M44S,2023-08-23T13:45:09Z
T-pjqLcbn0Q,"""Avoid பண்ணுறீங்களா நா"" 😱 Healthy-யா சாப்பிட Bestu Spot😋🔥| Vj Siddhu Vlogs",1041230,41709,301,PT12M45S,2023-08-21T11:15:09Z
Oi_PI9mWT0A,மாட்டிக்கினாரு ஒருத்தரு😂🔥 வெச்சி செஞ்சாச்சு | Part 2 | Vj Siddhu Vlogs,1794321,70965,512,PT14M11S,2023-08-18T11:00:11Z
WyeltJstELE,வாயா மூட்றா கொரங்கு 🙊- Pullingo Boys Trip😂 | Vj Siddhu Vlogs,2106728,86110,579,PT16M26S,2023-08-16T09:35:08Z
zlKEjwZ1WCY,"நல்லா இருந்துட்டு  😊 , இன்னைக்கு Road -ல இப்டி கடை வச்சிட்டு இருக்கது சங்கட்டமா இருக்கு 😰!",1674070,58890,1312,PT15M40S,2023-08-12T14:00:07Z
-XC-ZZQTFTc,Nelsa சம்பவம் பண்ணிட்டியே 😎🔥 JAILER FDFS Vlog | Vj Siddhu Vlogs,505279,19445,180,PT9M15S,2023-08-10T12:00:11Z
m3MLYRgIb6k,Subscriber கடையில Hukum பிரியாணி 😎🔥 | Vj Siddhu Vlogs,1315795,55289,498,PT14M44S,2023-08-09T10:30:11Z
P5cndHjeMek,எப்டி இருந்த நான் இப்டி மாறிட்டேன் 😎- MOTHI MENS WEAR💥🎉 | Vj Siddhu Vlogs,311038,12616,126,PT19M43S,2023-08-07T11:00:07Z
vZGsef4gAZg,Friends கூட Nightout Spots🎉 - இவ்ளோ கம்மி Price-ஆ 😋| Vj Siddhu Vlogs,791201,30241,266,PT20M44S,2023-08-04T12:30:09Z
P6aeNk0KqhU,Amazon-ல இப்டி கூட Products இருக்கா - Unboxing Weird Products 😱🎁 | Vj Siddhu Vlogs,845832,27850,152,PT15M7S,2023-08-02T12:30:10Z
FZOWUCLG9cI,Family- ஓட Private time spend பண்ண ஒரு Perfect Spot 😍❤️ | Vj Siddhu Vlogs,558421,23348,136,PT13M39S,2023-07-31T10:30:11Z
55FJ8S5GJQw,Oldest Wineshop In Pondy 😋- நத்தை கறி சும்மா அப்படி இருக்கு💥 | Vj Siddhu Vlogs | Vj Siddhu Vlogs,526339,19730,286,PT13M45S,2023-07-28T09:30:11Z
jpxNuluiy8U,50 ரூபா இருந்தா போதும்  😋 - கெத்து காட்டும் ECR தாத்தா கடை 🍗🥩| Vj Siddhu Vlogs,630721,21036,373,PT11M8S,2023-07-26T13:45:07Z
yfwnpF_YB38,காலை-லயே எறா தொக்கு கூட Tiffen 🦐😋🍽️ | அசத்தும் கூரை கடை🎉 | Vj Siddhu Vlogs,1036904,33769,295,PT10M21S,2023-07-24T10:30:09Z
HVO6vfKgRc4,Samantha நாய் குட்டி இவ்ளோ Price-ஆ😍 - Pet Shopping Vlog🐶 | Vj Siddhu Vlogs,340149,12761,137,PT16M39S,2023-07-21T12:00:08Z
